"FID_","ID","NAME","X","Y"
,36," ",35,106.637334,29.713274
,36," ",35,106.637356,29.713218
,37," ",36,106.637109,29.713496
,37," ",36,106.637197,29.713491
,37," ",36,106.637288,29.713522
,37," ",36,106.637367,29.713575
,37," ",36,106.637520,29.713695
,38," ",37,106.633793,29.714378
,38," ",37,106.633713,29.714376
,38," ",37,106.633646,29.714355
,38," ",37,106.633607,29.714326
,38," ",37,106.633525,29.714238
,38," ",37,106.633412,29.714030
,38," ",37,106.633270,29.713649
,39," ",38,106.636244,29.714083
,39," ",38,106.636335,29.714034
,39," ",38,106.636426,29.714002
,39," ",38,106.636523,29.713999
,39," ",38,106.636626,29.714010
,39," ",38,106.636690,29.714044
,39," ",38,106.636715,29.714078
,40," ",39,106.636660,29.713623
,40," ",39,106.636550,29.713689
,40," ",39,106.636497,29.713735
,41," ",40,106.636497,29.713735
,41," ",40,106.636444,29.713781
,41," ",40,106.636329,29.713932
,41," ",40,106.636247,29.714080
,41," ",40,106.636246,29.714081
,41," ",40,106.636245,29.714082
,41," ",40,106.636244,29.714083
,41," ",40,106.635921,29.714672
,42," ",41,106.636497,29.713735
,42," ",41,106.636570,29.713737
,42," ",41,106.636637,29.713774
,42," ",41,106.636688,29.713821
,42," ",41,106.636722,29.713882
,42," ",41,106.636731,29.713940
,42," ",41,106.636734,29.714022
,42," ",41,106.636715,29.714078
,43," ",42,106.633961,29.714334
,43," ",42,106.634100,29.714298
,43," ",42,106.634324,29.714239
,43," ",42,106.634374,29.714226
,43," ",42,106.634494,29.714194
,43," ",42,106.634714,29.714137
,43," ",42,106.634759,29.714125
,43," ",42,106.634920,29.714083
,43," ",42,106.635053,29.714048
,43," ",42,106.635213,29.714006
,43," ",42,106.635303,29.713983
,43," ",42,106.635641,29.713894
,43," ",42,106.636660,29.713623
,43," ",42,106.637109,29.713496
,43," ",42,106.633379,29.714486
,43," ",42,106.633670,29.714410
,43," ",42,106.633793,29.714378
,43," ",42,106.633806,29.714375
,43," ",42,106.633895,29.714351
,44," ",43,106.636134,29.715176
,44," ",43,106.636808,29.715012
,45," ",44,106.636298,29.715765
,45," ",44,106.636933,29.715619
,46," ",45,106.636808,29.715012
,46," ",45,106.636906,29.715012
,46," ",45,106.637003,29.715030
,46," ",45,106.637088,29.715073
,46," ",45,106.637127,29.715098
,47," ",46,106.636808,29.715012
,47," ",46,106.636903,29.714951
,47," ",46,106.636960,29.714899
